record_type,source_file,source_sr_no,state,constituency,mp_name,house,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
MP Allocated Limit,mplads_synthetic_feed.csv,1,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
Works Recommended,mplads_synthetic_feed.csv,2,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP328/2025-2026/100001,Public Health & Community Centers,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Varanasi village ward 7,2026-01-28,,,,,1026000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,3,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP328/2025-2026/100001,Public Health & Community Centers,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Varanasi village ward 7,,2026-03-13,,,,,1026000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,4,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP328/2025-2026/100001,Public Health & Community Centers,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Varanasi village ward 7,,,2026-08-05,,,,,877300.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,5,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP328/2025-2026/100001,,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Varanasi village ward 7,,,,2026-05-21,,,,,438600.0,,,,Payment Released,NATIONAL INFRA PROJECTS,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,6,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP328/2025-2026/100001,,Supply of Ambulance to Sub-District Hospital,Supply of Ambulance to Sub-District Hospital at Varanasi village ward 7,,,,2026-07-16,,,,,438700.0,,,,Payment Released,NATIONAL INFRA PROJECTS,,,
Works Recommended,mplads_synthetic_feed.csv,7,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP703/2025-2026/100002,Education & School Infrastructure,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 5,2026-02-16,,,,,1011000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,8,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP703/2025-2026/100002,Education & School Infrastructure,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 5,,2026-03-08,,,,,1011000.0,,,,,Work in Progress,,,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,9,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP703/2025-2026/100002,,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 5,,,,2026-04-20,,,,,300000.0,,,,Payment In-Progress,SRI BALAJI ENTERPRISES,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,10,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP703/2025-2026/100002,,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 5,,,,2026-06-17,,,,,300000.0,,,,Payment In-Progress,SRI BALAJI ENTERPRISES,,,
Works Recommended,mplads_synthetic_feed.csv,11,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP199/2025-2026/100003,"Roads, Bridges and Culverts",Repair of PWD Connecting Road,Repair of PWD Connecting Road at Varanasi village ward 13,2024-09-27,,,,,1616000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,12,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP199/2025-2026/100003,"Roads, Bridges and Culverts",Repair of PWD Connecting Road,Repair of PWD Connecting Road at Varanasi village ward 13,,2024-10-09,,,,,1616000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,13,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP199/2025-2026/100003,"Roads, Bridges and Culverts",Repair of PWD Connecting Road,Repair of PWD Connecting Road at Varanasi village ward 13,,,2025-05-10,,,,,1640900.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,14,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP199/2025-2026/100003,,Repair of PWD Connecting Road,Repair of PWD Connecting Road at Varanasi village ward 13,,,,2024-11-02,,,,,547000.0,,,,Payment Released,M/S INFRASTRUCTURE BUILDERS,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,15,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP199/2025-2026/100003,,Repair of PWD Connecting Road,Repair of PWD Connecting Road at Varanasi village ward 13,,,,2024-12-27,,,,,547000.0,,,,Payment Released,M/S INFRASTRUCTURE BUILDERS,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,16,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP199/2025-2026/100003,,Repair of PWD Connecting Road,Repair of PWD Connecting Road at Varanasi village ward 13,,,,2025-03-05,,,,,546900.0,,,,Payment Released,M/S INFRASTRUCTURE BUILDERS,,,
Works Recommended,mplads_synthetic_feed.csv,17,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP181/2025-2026/100004,Education & School Infrastructure,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 12,2025-01-24,,,,,2386000.0,,,,,,,,,,,
Works Sanctioned,mplads_synthetic_feed.csv,18,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP181/2025-2026/100004,Education & School Infrastructure,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 12,,2025-02-20,,,,,2386000.0,,,,,Work Completed,,,,,
Works Completed,mplads_synthetic_feed.csv,19,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP181/2025-2026/100004,Education & School Infrastructure,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 12,,,2025-08-28,,,,,2094100.0,,,,,,,,,Yes
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,20,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP181/2025-2026/100004,,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 12,,,,2025-03-01,,,,,698000.0,,,,Payment Released,A TO Z ASSOCIATES,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,21,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP181/2025-2026/100004,,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 12,,,,2025-05-15,,,,,698000.0,,,,Payment Released,A TO Z ASSOCIATES,,,
Expenditure on Completed & On-going Works,mplads_synthetic_feed.csv,22,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,UTTAR PRADESH DISTRICT MAGISTRATE IDA,WS/MP181/2025-2026/100004,,Computer Lab Setup in High School,Computer Lab Setup in High School at Varanasi village ward 12,,,,2025-07-27,,,,,698100.0,,,,Payment Released,A TO Z ASSOCIATES,,,
